Filename,Location,datetime,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class,dataset_id
BRI_Un_2023-02-02- 12.00-9.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-8.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-7.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-6.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-5.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-4.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-3.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-2.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-18.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-17.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-16.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-15.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-14.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-13.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-12.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
BRI_Un_2023-02-02- 12.00-11.jpg,"Biratnagar, Nepal",2023-02-02 12:00:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy,1
