Filename,Location,datetime,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class,dataset_id
TN_UHFSG_2023-02-10-08.30-1-40.jpg,Tamil Nadu,2023-02-10 08:30:00,105.0,55.0,86.0,21.0,8.0,14.0,3.0,c_Unhealthy_for_Sensitive_Groups,1
BIR_UNH_VF_2023-02-02- 15.00-2-71.jpg,"Biratnagar, Nepal",2023-02-02 15:00:00,156.0,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy,1
MH_Good_2023-03-22-11.00-1-330.jpg,Mumbai,2023-03-22 11:00:00,49.0,32.0,59.0,46.0,9.0,7.0,17.0,a_Good,1
DEL_SEV_2023-02-20-14.00-1-441.jpg,"ITO, Delhi",2023-02-20 14:00:00,363.0,257.0,139.0,41.0,65.0,35.0,83.0,f_Severe,1
TN_UnFSG_2023-03-02-08.30-2-136.jpg,Tamil Nadu,2023-03-02 08:30:00,119.0,69.0,106.0,8.0,358.0,22.0,26.0,c_Unhealthy_for_Sensitive_Groups,1
BENGR_Mod_2023-02-23-08.30-1-66.jpg,Bengaluru,2023-02-23 08:30:00,97.0,43.0,78.0,26.0,258.0,10.0,17.0,b_Moderate,1
BENGR_Mod_2023-03-06-08.30-1-401.jpg,Bengaluru,2023-03-06 08:30:00,68.0,36.0,59.0,22.0,171.0,5.0,14.0,b_Moderate,1
HAR_VUN_2022-10-02-10.00-1-657.jpg,"New Ind Town, Faridabad",2022-10-02 10:00:00,230.0,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy,1
TN_UnFSG_2023-03-02-08.30-1-36.jpg,Tamil Nadu,2023-03-02 08:30:00,119.0,69.0,106.0,8.0,358.0,22.0,26.0,c_Unhealthy_for_Sensitive_Groups,1
BENGR_Good_2023-03-17-08.30-1-50.jpg,Bengaluru,2023-03-17 08:30:00,15.0,4.0,7.0,37.0,288.0,10.0,10.0,a_Good,1
Dimapur_UHFSG_2023-02-02- 09.00-1-50.jpg,"Dimapur, Nagaland",2023-02-02 09:00:00,103.0,53.0,84.0,13.0,2.0,3.0,5.0,c_Unhealthy_for_Sensitive_Groups,1
